Turn	Rank_First	Rank_Second	Rank_Third
Ses03M_script01_3_M020	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02F_impro04_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_3_F018	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01M_impro06_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro03_M018	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro04_M010	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script03_2_F016	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_script03_1_M023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_2_F030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro03_M022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_2_M008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1b_F011	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script01_1_M014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1b_F021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script03_1_M026	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script01_1_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_1_F037	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script03_1_M014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_2_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro03_F041	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script02_2_M022	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03F_script01_1_F033	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04M_script02_1_M026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro04_M012	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_script03_1_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_3_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro08_F021	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_script02_1_M009	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_impro07_M021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro03_F024	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04F_impro04_M013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_1_M007	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_impro02_M009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro03_F016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro03_F002	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro07_F033	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_script01_2_M013	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_script01_3_M016	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03F_impro07_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_2_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1b_F000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro01_F005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro05_F020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro02_F035	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04F_impro08_M009	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_impro01_F018	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses04F_impro07_F010	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_impro07_M005	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_script03_1_M013	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script02_1_M026	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01F_script02_1_M024	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_script02_2_F034	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script02_2_M005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro03_F015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro01_M015	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script02_2_F028	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses04F_impro03_F035	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_script01_3_M025	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03M_script03_1_M010	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_impro03_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_3_F021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro08_M015	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_script02_2_F036	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses04M_script02_2_M013	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01F_script01_3_F030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1_M006	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03M_impro07_F018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_2_F025	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_impro01_M022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script02_2_F018	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script01_1_M023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro03_F025	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03M_script03_1_F022	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_script02_2_M000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro01_F019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script02_1_F011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_2_F002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro08_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro05_F019	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_impro07_F011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro03_F012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro08a_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_2_F013	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_script02_2_F000	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02F_impro07_M014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script01_1_M027	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script03_1_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro02_F015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_1_M028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_2_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_3_M004	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_impro06_M005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_2_M018	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script03_2_F039	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_script01_1_M025	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04M_impro04_M019	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01M_impro05_F031	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses03M_script02_2_F023	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03F_script02_1_F000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro02_F024	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_impro03_M004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_1_F014	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses04F_script02_2_M038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro05b_M025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro03_M021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro07_F025	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses03F_script01_3_F030	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02M_script01_1_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro08b_M022	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_impro04_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script02_2_F041	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro06_M012	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_impro02_F029	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_impro03_M051	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01M_script02_2_M050	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_3_M024	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro06_M023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script02_2_F008	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01M_script03_1_F008	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02M_script01_1_M026	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script03_2_F004	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses04F_script02_2_F006	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses05F_impro03_F056	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro05a_M029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script02_2_M029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro07_M022	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_script03_2_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro03_F010	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02F_script01_1_M039	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_2_M017	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_2_F005	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro08_M023	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04F_script01_3_M037	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_1_M025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro04_M038	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses05M_script03_2_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro01_F011	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_impro06_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro08_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro03_F015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_1_M003	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_impro07_F005	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses02F_script03_1_F027	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05M_script03_1_F016	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script01_3_F000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro05_F021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro03_M022	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script02_2_F030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script02_2_M038	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro01_M009	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_script01_1_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro04_F023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro05_F034	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_impro05_F002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro06_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_3_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script03_1_F008	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_impro02_F034	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro05_M032	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_1_F015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro03_M006	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05F_impro01_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro07_F003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_1_F015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro01_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script03_2_F005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro05_F029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro06_FXX1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_impro07_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro04_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script03_1_F024	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_script01_1b_F001	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro04_M004	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05M_script02_2_F019	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_script01_3_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script01_3_F000	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03M_impro03_F035	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_script03_1_M011	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro02_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro06_M002	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01F_impro05_F001	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses01M_impro07_M019	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_script01_1_F004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_1_F022	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04F_script02_1_M005	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_impro02_M021	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro05_F043	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_impro08_F015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro01_F013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script03_2_F001	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses03M_script01_1_F018	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses05M_script02_1_M003	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_1_F004	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses03F_impro02_F030	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro06_M010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro02_F007	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_script01_1_F011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro05_M018	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02M_script03_2_F022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_impro02_M007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script02_1_M036	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script02_1_M030	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_script03_2_M029	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro02_F012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script02_1_M044	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro05_M015	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses04F_impro02_M021	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses01M_impro07_M000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro03_F007	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script01_3_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro07_F015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script02_1_F004	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_impro07_M011	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04F_script02_2_F035	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro08_M028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro04_F000	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_script03_2_M041	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_impro04_M015	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_3_F023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro06_F017	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses01M_script01_2_M009	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro02_F011	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02M_script02_2_M002	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
Ses02F_script02_2_M002	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script02_1_M013	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script03_2_F042	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script02_2_M032	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_1_M039	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro04_M012	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_script01_3_F002	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_script03_2_M008	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses03F_impro07_M013	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04F_script01_1_M022	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses05F_script03_1_M024	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro07_F031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_impro05_M008	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses05M_impro07_F031	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_script01_2_M011	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01F_impro01_M000	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses04M_impro07_M020	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro07_M008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro01_F019	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses05F_impro08_F005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro01_M022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_3_M039	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro05_F017	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_impro07_F025	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script01_2_M007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro02_M023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses01M_impro05_F007	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_3_M022	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1_F018	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses02F_impro07_M006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_script01_1b_M037	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses01M_impro07_F010	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_impro05_M023	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro01_M017	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses02F_impro01_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script01_3_F006	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script02_2_F019	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_1_M030	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01F_impro07_F016	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses04M_script03_1_F008	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script03_1_F029	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
Ses05F_script01_1_M028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_3_M004	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02M_impro05_M028	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04M_script03_2_F030	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses05F_impro08_M001	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
Ses04M_impro01_F009	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro07_M044	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03F_script01_1_M035	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses03M_script02_2_F014	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_script02_2_F047	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses04F_impro03_M001	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05F_script02_1_FXX0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses05M_impro02_M032	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
Ses02F_script01_3_M005	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
Ses02F_script01_2_F006	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
