Dia	Utt	Rank_First	Rank_Second	Rank_Third
8	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
8	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
8	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
8	13	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
8	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
10	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
10	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
10	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
10	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
10	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
10	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
10	10	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
10	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
10	12	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
11	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
11	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
11	6	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
11	7	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
12	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
12	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
12	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
12	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
13	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
13	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
13	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
13	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
14	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
14	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
14	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
14	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
14	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
14	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
14	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
14	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
14	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
16	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
16	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
16	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
16	6	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
16	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
16	8	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
16	12	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
17	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
17	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
17	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
17	6	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
17	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
19	0	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
19	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
19	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
19	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
19	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
19	5	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
19	6	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
19	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
19	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
19	11	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
20	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
20	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
20	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
20	3	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
20	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
20	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
20	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
21	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
21	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
21	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
22	0	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
22	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
22	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
22	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
22	6	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
22	7	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
22	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
22	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
22	10	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
22	11	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
24	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
24	1	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
24	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
24	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
24	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
24	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
24	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
24	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
24	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
24	11	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
24	13	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
24	14	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
24	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
24	16	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
24	17	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
24	18	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
25	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
25	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
25	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
25	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
25	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
25	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
25	7	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
25	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
27	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
27	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
27	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
27	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
27	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
27	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
28	0	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
28	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
28	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
28	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
28	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
28	5	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
28	6	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
28	8	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
28	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
28	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
29	0	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
29	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
29	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
29	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
29	8	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
30	1	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
30	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
31	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
31	3	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
31	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
31	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
32	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
32	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
32	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
32	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
35	1	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
35	2	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
35	3	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
35	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
35	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
35	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
35	8	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
35	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
35	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
35	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
36	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
36	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
36	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
36	3	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
36	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
36	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
36	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
36	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
36	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
36	9	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
36	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
36	11	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
37	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
37	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
37	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
37	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
45	0	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
45	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
45	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
45	3	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
45	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
45	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
45	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
45	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
48	0	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
48	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
48	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
48	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
48	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
48	9	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
49	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
49	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
49	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
49	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
49	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
49	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
49	9	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
49	10	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
49	11	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
50	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
50	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
50	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
50	6	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
50	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
50	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
50	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
50	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
52	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
52	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
52	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
52	3	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
52	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
52	6	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
52	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
53	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
53	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
53	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
53	4	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
53	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
56	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
56	1	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
56	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
56	3	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
56	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
56	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
56	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
56	7	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
56	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
57	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
57	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
57	2	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
57	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
57	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
58	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
58	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
58	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
58	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
60	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
60	1	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
60	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
60	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
60	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
60	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
60	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
60	9	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
60	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
60	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
60	12	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
60	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
60	14	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
61	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
61	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
61	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
62	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
62	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
62	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
62	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
62	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
62	6	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
62	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
65	0	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
65	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
65	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
65	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
65	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
65	6	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
65	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
65	8	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
65	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
65	13	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
69	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
69	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
69	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
69	4	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
69	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
69	7	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
70	0	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
70	1	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
70	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
70	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
70	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
70	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
72	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
72	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
72	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
72	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
72	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
72	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
73	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
73	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
73	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
73	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
73	6	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
73	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
73	9	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
73	11	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
74	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
74	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
74	5	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
74	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
74	7	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
74	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
74	9	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
74	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
75	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
75	4	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
75	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
75	6	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
75	7	Emotions and Facial Expressions	Interaction with Others	Speakers' Actions
75	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
75	11	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
77	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
77	1	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
77	2	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
77	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
77	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
79	0	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
79	1	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
79	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
79	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
79	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
79	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
79	8	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
79	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
81	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	9	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	12	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
81	13	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	14	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
81	15	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	16	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
81	17	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
81	19	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
82	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
82	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
82	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
82	5	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
82	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
82	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
82	10	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
83	2	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
83	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
83	5	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
83	6	Emotions and Facial Expressions	Speakers' Actions	Interaction with Others
83	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
84	1	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
84	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
84	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
84	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
84	7	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
84	8	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
85	0	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
85	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
85	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
85	3	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
85	4	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
85	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
86	0	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
86	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
88	1	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
88	3	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
88	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
88	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
88	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
89	3	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
89	4	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
89	6	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
89	8	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
89	10	Speakers' Actions	Interaction with Others	Emotions and Facial Expressions
91	1	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
91	2	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
91	4	Interaction with Others	Emotions and Facial Expressions	Speakers' Actions
91	5	Interaction with Others	Speakers' Actions	Emotions and Facial Expressions
