TURN	Speakers' Actions	Emotions and Facial Expressions	Interaction with Others
Ses01M_impro03_F020	The speakers are both sitting in chairs, facing each other. They appear to be engaged in a conversation, with occasional gestures and hand movements.	Both speakers seem to be in a relaxed state, with occasional smiles and nods. Their facial expressions are generally calm and composed, with no visible signs of tension or discomfort.	The speakers are the only individuals in the scene, and their interaction appears to be friendly and casual. They are both actively participating in the conversation, with no visible signs of conflict or disagreement.
Ses05F_impro04_M015	The woman is sitting in a chair, while the man is standing behind her. Both are facing each other and engaged in a conversation. The woman occasionally nods her head, while the man gestures with his hands to emphasize his points.	The woman appears calm and attentive, while the man seems to be explaining something with a serious expression. Both speakers maintain eye contact throughout the conversation.	There is no interaction with others in the scene. The focus is solely on the conversation between the woman and the man.
Ses02M_impro08_F008	The woman is sitting in a chair and speaking into the microphone. She occasionally gestures with her hands to emphasize her points. The man is also sitting in a chair and appears to be listening attentively. He occasionally nods his head in agreement.	The woman's facial expressions are mostly neutral, but she occasionally smiles or frowns to convey her emotions. The man appears to be composed and serious throughout the video.	The woman and man seem to be engaged in a serious conversation, possibly discussing a professional matter. They maintain eye contact and appear to be actively listening to each other.
Ses05M_script01_1b_M009	The woman is sitting at the table, and the man is standing next to her. They are both engaged in a conversation, and the woman is occasionally gesturing with her hands.	Both the woman and the man appear to be calm and composed throughout the conversation. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The woman and the man seem to be engaged in a friendly conversation. They are facing each other and occasionally making eye contact.
Ses03M_script02_1_F013	The woman is gesturing with her hands as she speaks, while the man is sitting still and listening. At one point, he leans forward and speaks, then listens attentively as the woman continues to talk.	Both the woman and the man appear to be calm and composed throughout the conversation. They maintain eye contact and do not show any strong emotions.	The woman and the man seem to be having a private conversation, as they are the only two people in the room. They do not interact with anyone else or acknowledge the presence of the camera.
Ses05M_script01_1_M000	The man is sitting at the table with his hands clasped, while the woman is standing with her arms crossed. Both speakers are facing each other and appear to be engaged in a conversation.	The man's facial expression is neutral, while the woman's expression is slightly annoyed. Both speakers seem to be maintaining a professional tone throughout the conversation.	The speakers are the only two individuals in the scene, and their interaction appears to be a formal discussion rather than a casual conversation.
Ses01F_impro07_F007	The woman is sitting in a chair, facing the camera. She occasionally shifts her weight or adjusts her posture, but remains seated throughout the video. The man is also seated, facing the woman. He occasionally leans forward or gestures with his hands, but remains in a seated position.	The woman appears calm and composed throughout the video, with a neutral facial expression. The man, on the other hand, displays a range of emotions, including excitement, frustration, and amusement. His facial expressions and tone of voice change accordingly.	The woman and man are engaged in a conversation, but there are no other individuals present in the scene. Their interaction is focused solely on each other, with no visible signs of tension or familiarity.
Ses01F_impro05_M023	The woman is sitting at a table, and the man is sitting in a chair. Both are engaged in a conversation, with the woman speaking more than the man. The man occasionally gestures with his hands, while the woman remains seated throughout the video.	The woman appears to be calm and composed, while the man seems more relaxed and at ease. Both speakers maintain a neutral facial expression throughout the video, with no visible signs of strong emotions.	The woman and the man are the only individuals in the scene. They appear to be engaged in a friendly conversation, with no visible signs of tension or conflict.
Ses04M_script01_1_F006	Both speakers are sitting in chairs, facing each other. They appear to be engaged in a conversation, with occasional gestures and movements of their hands. The woman is holding a book in her lap, while the man is sitting with his arms crossed.	The woman's facial expressions are mostly neutral, with occasional slight smiles. The man appears more serious and focused on the conversation. Both speakers maintain eye contact throughout the video.	The speakers seem to be having a one-on-one conversation, with no visible signs of interaction with others. Their body language and focus on each other suggest a serious and potentially confidential discussion.
Ses04F_script03_2_M008	Both speakers are sitting upright, facing each other. They appear to be engaged in a serious conversation, with occasional gestures to emphasize their points. The woman is seen nodding her head in agreement at certain moments.	Both speakers maintain a composed demeanor throughout the conversation. However, the woman's facial expression changes slightly at one point, suggesting a moment of surprise or realization.	The two speakers seem to be in a professional setting, possibly conducting an interview or having a serious discussion. They appear to be respectful and attentive towards each other.
Ses04M_script03_2_F033	The man is wearing a red shirt and has black hair. He is sitting still and looking straight ahead. The woman is wearing a black tank top and is holding a pen and paper. She is nodding her head occasionally and occasionally looking down at her notes.	Both speakers appear calm and composed. The man's facial expression is neutral, while the woman's expression is slightly more animated, with occasional smiles and frowns.	The speakers are engaged in a conversation, but there is no visible interaction between them. They are both focused on the discussion and are not making any gestures or physical contact.
Ses05M_impro05_F020	The man is sitting in the black chair, wearing a black shirt and a black hat. He is speaking and gesturing with his hands, while the woman is sitting at the table, wearing a black jacket. She is listening attentively and occasionally nodding her head.	The man appears to be confident and engaged in the conversation, while the woman seems to be interested and attentive. Both speakers maintain a professional demeanor throughout the video.	The speakers seem to be having a serious and focused conversation, possibly discussing business or work-related matters. They are facing each other and maintaining eye contact, indicating a level of engagement and mutual respect.
Ses05M_impro08_M020	One of the men is seen talking to the camera, while the other man is seen talking to the camera as well. The woman is seen sitting on the floor and looking at the camera.	The man talking to the camera appears to be smiling and relaxed, while the other man seems more serious and focused. The woman's facial expression is neutral.	The speakers do not appear to interact with each other directly, but they are all looking at the camera.
Ses02F_impro07_F036	The woman is seen sitting in one of the chairs, while the man is sitting in the other. Both are facing each other and appear to be engaged in a conversation. The woman is occasionally gesturing with her hands, while the man is mostly sitting still.	The woman's facial expressions are mostly neutral, but she occasionally smiles. The man appears to be serious and focused on the conversation.	The two speakers seem to be having a one-on-one conversation, with no other individuals present in the scene. Their interaction appears to be professional and respectful.
Ses01M_impro01_M024	The man is sitting in a chair with his arms crossed, while the woman is sitting on a couch with her hands resting on her lap. Both speakers appear to be engaged in a conversation, maintaining eye contact and occasionally gesturing with their hands.	The man's facial expressions are mostly neutral, with occasional slight smiles. The woman, on the other hand, displays a range of emotions, including moments of concern, curiosity, and amusement. Her tone of voice varies accordingly, reflecting her changing emotions.	The speakers seem to be having a friendly conversation, occasionally sharing a light laugh or a smile. Their body language suggests a comfortable and relaxed relationship, with no visible signs of tension or disagreement.
Ses02F_impro02_F005	The woman is seen sitting in one of the chairs, while the man is sitting in the other. Both are facing each other and appear to be engaged in a conversation. The woman is occasionally gesturing with her hands, while the man is mostly sitting still.	The woman's facial expressions are mostly neutral, but she occasionally smiles. The man appears to be more serious and is mostly looking straight ahead.	The two speakers seem to be having a one-on-one conversation, with no other individuals present in the scene. Their body language suggests a level of familiarity and comfort with each other.
Ses05F_impro01_F008	The woman is seen gesturing with her hands, while the man is mostly stationary. Both speakers maintain eye contact throughout the conversation.	The woman appears to be engaged in the conversation, while the man seems more reserved. Both speakers maintain a neutral facial expression throughout the video.	There is no visible interaction between the speakers and other individuals in the scene.
Ses03M_script01_3_M020	The man is seated in a chair, while the woman is standing in front of him. Both are holding papers and occasionally flipping through them. The man is occasionally gesturing with his hands, while the woman is mostly standing still.	Both speakers appear calm and composed throughout the video. Their facial expressions are mostly neutral, with occasional slight smiles or frowns.	The speakers seem to be engaged in a serious conversation, but there is no visible tension or hostility between them. They are facing each other and occasionally making eye contact.
Ses02F_impro04_F008	The woman is seen speaking into the microphone, gesturing with her hands to emphasize her points. The man listens attentively, occasionally nodding his head.	The woman appears to be passionate and engaged in the conversation, while the man maintains a calm and composed demeanor.	The speakers seem to be having a serious and focused conversation, with no visible signs of tension or disagreement.
Ses04M_script01_3_F018	The woman is sitting at the desk, facing the camera, and speaking into the microphone. She occasionally gestures with her hands to emphasize her points. The man is also sitting at the desk, but he is facing the woman and appears to be listening attentively. He occasionally nods his head and makes small gestures to show that he is engaged in the conversation.	Both speakers seem to be in a relaxed and friendly mood. They occasionally smile and make lighthearted comments. Their facial expressions and tone of voice suggest that they are enjoying the conversation and are comfortable with each other.	The woman and the man appear to have a friendly and professional relationship. They are engaged in a conversation, and there is no visible tension or conflict between them.
Ses01M_impro06_M009	The man is sitting in the chair, wearing a white t-shirt and a black baseball cap. He is looking straight ahead, occasionally nodding his head. The woman is standing next to him, wearing a red sweater and a black skirt. She is looking at the man, occasionally shifting her weight from one foot to the other.	Both the man and the woman appear calm and composed throughout the video. Their facial expressions are neutral, and they do not show any strong emotions.	The man and the woman seem to be engaged in a serious conversation. They are facing each other, and their body language suggests that they are actively listening and responding to each other.
Ses05M_impro03_M018	The man is seen gesturing with his hands while speaking, indicating that he is actively engaged in the conversation. The woman is sitting still and listening attentively.	Both the man and the woman appear to be relaxed and comfortable. They are smiling and occasionally laughing, suggesting that the conversation is friendly and enjoyable.	The man and the woman seem to be having a private conversation, as they are sitting close together and not interacting with anyone else in the room.
Ses01M_impro04_M010	The man is wearing a virtual reality headset and is holding a black object in his hand. The woman is sitting in a black chair and is gesturing with her hands as she speaks.	The man's facial expressions are not visible due to the virtual reality headset. The woman appears to be calm and composed, with a neutral expression.	The conversation between the man and the woman seems to be focused and engaged. There is no visible tension or familiarity between them.
Ses01M_script03_2_F016	The man is sitting in a chair with his hands resting on his lap. He occasionally gestures with his hands as he speaks, but his movements are generally subtle and controlled. The woman is sitting across from him, also with her hands resting on her lap. She occasionally leans forward or gestures with her hands as she listens and responds to the man's comments.	Both the man and the woman appear calm and composed throughout the video. Their facial expressions are generally neutral, with occasional slight smiles or frowns. Their tone of voice is measured and controlled, suggesting a serious and focused conversation.	The man and woman appear to be engaged in a serious and focused conversation. They maintain eye contact throughout the video and occasionally nod or gesture to emphasize their points. There is no visible tension or hostility between them, suggesting a friendly and collaborative relationship.
Ses04M_script03_1_M023	The man is wearing a red shirt and is sitting in a black chair with armrests. He is facing the woman and appears to be engaged in the conversation. The woman is wearing a black dress and is sitting on a wooden chair. She is holding a piece of paper and occasionally gesturing with her hands.	Both speakers seem calm and composed throughout the video. They maintain a neutral facial expression and do not show any strong emotions.	The speakers are engaged in a conversation, and there is no visible tension or hostility between them. They appear to be listening to each other and responding in a respectful manner.
Ses02M_script02_2_F030	The speakers are sitting in chairs, facing each other. They are engaged in a conversation, occasionally gesturing with their hands to emphasize their points. The woman is holding a microphone, suggesting that she is conducting an interview or recording a podcast.	Both speakers appear to be relaxed and comfortable. They maintain a neutral facial expression throughout the conversation, indicating a serious and focused discussion.	The speakers are the only individuals in the scene, and their interaction is limited to their verbal exchange. There is no visible sign of their relationship or any emotional connection.
Ses03M_impro03_M022	The man is sitting in the black chair, wearing a red shirt and a black hat. He is holding a microphone and speaking into it. The woman is sitting on a wooden chair, wearing a red shirt and a black wristband. She is looking at the man and occasionally nodding her head.	Both the man and the woman appear calm and engaged in the conversation. The man is speaking in a measured tone, while the woman is listening attentively.	The man and the woman seem to be having a serious conversation, possibly about work or a project. They are facing each other and maintaining eye contact throughout the interaction.
Ses03F_script01_2_M008	The woman is sitting in one of the chairs, while the man is sitting in the other. Both are facing each other and appear to be engaged in a conversation. The woman is gesturing with her hands, while the man is leaning forward, listening attentively.	The woman's facial expressions are mostly neutral, but she occasionally smiles and nods in agreement. The man appears to be focused on the conversation, with a serious expression on his face.	The two speakers seem to be having a one-on-one conversation, with no other individuals present in the scene. Their body language suggests a level of comfort and familiarity with each other.
Ses05M_script01_1b_F011	The man and woman are engaged in a conversation, with both parties actively participating. The man occasionally gestures with his hands, while the woman maintains a more reserved posture.	Both speakers seem to be in a neutral emotional state, with no visible signs of strong emotions. Their facial expressions are mostly neutral, and their tone of voice is moderate.	The man and woman appear to be the only individuals in the scene, and their interaction is focused solely on their conversation. There are no visible signs of tension or familiarity between them.
Ses01M_script01_1_M014	The speakers are engaged in a conversation, with both of them actively participating. They are sitting upright, maintaining eye contact, and occasionally gesturing with their hands to emphasize their points.	Both speakers appear to be calm and composed, with no visible signs of distress or agitation. Their facial expressions are neutral, and their tone of voice is measured and controlled.	The speakers are the only two individuals in the scene, and their interaction is focused solely on their conversation. There are no other people or distractions in the room.
Ses05M_script01_1b_F021	The man is seen gesturing with his hands, while the woman is looking attentive and nodding occasionally. Both speakers appear to be engaged in a conversation.	The man's facial expressions are mostly neutral, while the woman seems to be smiling and maintaining a positive demeanor.	The interaction between the speakers appears to be friendly and professional, suggesting they might be discussing a work-related or academic topic.
Ses05M_script03_1_M026	The man is sitting at the table, gesturing with his hands as he speaks. The woman is sitting in the black chair, listening attentively and occasionally nodding her head.	Both the man and the woman appear to be relaxed and comfortable. They are smiling and maintaining eye contact throughout the conversation.	The man and the woman seem to be engaged in a friendly conversation. They are facing each other and occasionally making eye contact.
Ses01M_script01_1_M009	The man is wearing a headset and is engaged in a conversation with the woman. He occasionally gestures with his hands to emphasize his points. The woman is attentively listening to the man and occasionally nods her head in agreement.	Both the man and the woman appear to be calm and composed throughout the conversation. They maintain a neutral facial expression, and their tone of voice is measured and controlled.	The man and the woman seem to have a friendly and professional relationship. They engage in a respectful and courteous conversation, and there is no visible tension between them.
Ses02M_script01_1_F037	The woman is sitting in one of the chairs, holding a microphone and speaking into it. The man is sitting in the other chair, listening attentively to the woman. Both speakers appear to be engaged in a serious conversation.	The woman's facial expressions are mostly neutral, but she occasionally smiles and nods in agreement. The man appears to be focused on the conversation, maintaining a neutral expression throughout.	The speakers seem to be having a one-on-one conversation, with no other individuals present in the scene. Their interaction is professional and respectful, with no visible signs of tension or disagreement.
Ses04F_script03_1_M014	The woman is sitting in a chair with her hands clasped in her lap. She occasionally leans forward and makes small gestures with her hands as she speaks. The man is sitting at a desk, holding a piece of paper in his hand. He occasionally looks down at the paper and shuffles it.	Both the woman and the man appear calm and composed throughout the video. They maintain a neutral facial expression and do not show any strong emotions.	The woman and the man are engaged in a conversation, but there is no visible interaction between them beyond their verbal exchange.
Ses04M_script01_2_F010	The woman is sitting at a desk with a laptop and papers in front of her, while the man is sitting in a chair facing her. Both are looking at each other and occasionally at the microphone. The woman seems to be leading the conversation, while the man is listening attentively.	The woman appears to be focused and serious, while the man seems relaxed and engaged. Both speakers maintain a professional demeanor throughout the conversation.	The video shows only the two speakers, and there is no interaction with other individuals.
Ses05F_impro03_F041	The woman in the chair is talking to the man standing next to her. She is using her hands to emphasize her points, while the man is listening attentively and occasionally nodding his head.	Both the woman and the man are smiling throughout the conversation, indicating a friendly and positive atmosphere. The woman in the background appears to be focused on her book and is not paying attention to the conversation.	The woman and the man are engaged in a one-on-one conversation, while the woman in the background is not interacting with them. The woman sitting in the chair seems to be the main speaker, while the man is actively listening and occasionally interjecting with comments.
Ses02F_script02_2_M022	The man and woman are engaged in a conversation, with both of them occasionally gesturing to emphasize their points. The man is seen holding a piece of paper, which he appears to be reading from at times.	The woman's facial expressions are mostly neutral, while the man seems to be more animated, with occasional smiles and frowns. Both speakers appear to be focused on the conversation, with no visible signs of distress or discomfort.	The video does not show any other individuals in the scene, so there are no interactions with others to report.
Ses03F_script01_1_F033	The woman is seen speaking into a microphone, while the man is holding a piece of paper. Both speakers maintain a relatively static posture throughout the video.	The woman appears to be engaged in the conversation, while the man maintains a neutral expression. There are no visible signs of strong emotions or reactions from either speaker.	The speakers do not interact with each other or any other individuals in the scene. They appear to be addressing an unseen audience.
Ses04M_script02_1_M026	The woman is sitting in a chair and holding a clipboard, while the man is sitting in a wheelchair. Both are facing each other and appear to be engaged in a conversation.	The woman's facial expression is neutral, while the man's expression is serious. Both speakers seem focused on the conversation and are using a formal tone.	The woman appears to be conducting an interview or assessment of the man, who is a patient with a disability. They interact professionally and respectfully.
Ses04M_impro04_M012	The man is seen gesturing with his hands, while the woman remains still. Both speakers maintain eye contact throughout the conversation.	The man appears to be engaged in the conversation, while the woman maintains a neutral expression.	The speakers seem to be having a serious conversation, but there is no visible tension or hostility between them.
Ses05F_script03_1_F009	The woman is seen sitting in the chair, occasionally gesturing with her hands. The man is sitting at the desk, occasionally looking up from the laptop. There are no significant actions or movements between the characters.	Both the woman and the man appear calm and composed throughout the video. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The woman and the man are engaged in a conversation, but there are no visible signs of their relationship or interaction. They appear to be discussing something related to the laptop on the desk.
Ses02F_script01_3_M003	The man is holding a piece of paper and occasionally gesturing with his hands as he speaks. The woman is sitting still and listening attentively.	Both the man and the woman appear to be calm and composed throughout the video. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The man and the woman are the only two individuals in the scene, and their interaction is primarily verbal. They appear to be engaged in a serious conversation, but there is no visible tension or hostility between them.
Ses02M_impro08_F021	Throughout the video, both the man and the woman remain seated and engaged in a conversation. The woman occasionally adjusts the microphone and takes notes, while the man gestures with his hands as he speaks.	Both individuals maintain a professional demeanor, with minimal facial expressions. However, the woman occasionally smiles and nods in response to the man's comments.	The interaction between the two speakers is primarily verbal, with the woman asking questions and the man providing answers. There are no visible signs of tension or familiarity between them.
Ses02M_script02_1_M009	The man and woman are seated in chairs, facing each other. They appear to be engaged in a conversation, with both parties actively participating in the discussion. The woman is holding a microphone, suggesting that she may be conducting an interview or recording a podcast.	Both the man and woman display a range of emotions throughout the conversation. They seem to be genuinely interested in the topic at hand, and their facial expressions reflect their engagement and enthusiasm.	The interaction between the speakers is professional and respectful. They maintain eye contact and occasionally nod in agreement or to show understanding.
Ses04M_impro07_M021	Both speakers are engaged in a conversation, with the woman occasionally leaning forward and the man gesturing with his hands. They appear to be actively listening and responding to each other.	The woman maintains a calm and composed demeanor throughout the video, with minimal facial expressions. The man, on the other hand, displays a range of emotions, including moments of frustration and excitement.	The speakers seem to be having a one-on-one conversation, with no other individuals visible in the frame. Their interaction is focused and engaged, with no visible signs of tension or discomfort.
Ses01M_impro03_F024	The man is wearing a virtual reality headset and is moving his hands in a gestural manner, as if he is interacting with something in the virtual space. The woman is sitting in a chair and is smiling, nodding her head occasionally.	Both speakers appear to be in a positive mood, with the woman smiling and the man's facial expressions suggesting he is engaged and enjoying the virtual reality experience.	The woman seems to be actively participating in the conversation, nodding her head and occasionally interjecting with comments or questions. The man's attention is focused on the virtual reality experience, but he occasionally looks towards the woman and responds to her comments.
Ses04F_impro04_M013	The woman is sitting in a chair and talking to the camera. She occasionally gestures with her hands to emphasize her points. The man is sitting on a chair and holding a white paper in his hand. He occasionally looks at the woman while she talks.	The woman appears to be calm and composed, with a neutral facial expression. The man seems to be attentive and engaged in the conversation, but it is difficult to discern his emotions from his facial expressions alone.	The woman and the man do not interact with each other directly. They seem to be addressing the camera separately.
Ses03M_script01_1_M007	The woman is sitting in a chair and speaking into a microphone. She occasionally gestures with her hands to emphasize her points. The man is sitting in a black chair and listening attentively, occasionally nodding his head.	The woman appears confident and engaged in the conversation, while the man seems calm and attentive. Both speakers maintain a professional demeanor throughout the video.	The speakers seem to be having a one-on-one conversation, with no other individuals visible in the scene. Their interaction is professional and focused on the discussion at hand.
Ses02M_impro02_M009	The woman is sitting in one of the chairs, holding a microphone and speaking into it. The man is sitting in the other chair, listening attentively and occasionally nodding his head. Both speakers maintain a relaxed posture throughout the video.	The woman appears to be engaged in the conversation, making various facial expressions as she speaks. The man maintains a neutral expression, occasionally smiling.	The speakers seem to be having a friendly conversation, occasionally making eye contact and exchanging smiles. There is no visible tension or hostility between them.
