Dialogue_id	Utterance_id	Speakers Actions	Emotions and Facial Expressions	Interaction with Others
6	4	The man and woman are standing close to each other, with the woman occasionally touching her neck. The man is seen holding a knife in his hand, but it is unclear what he is doing with it.	The woman appears to be smiling and laughing throughout the video, while the man's facial expressions are not clearly visible.	The man and woman seem to be engaged in a friendly conversation, with the woman occasionally touching the man's arm or shoulder.
6	5	The man and woman are standing close to each other, occasionally touching their chests. The man is holding a box in his hand.	Both characters seem to be in a good mood, smiling and laughing at times. Their facial expressions convey a sense of happiness and contentment.	The man and woman appear to be a couple, as they are standing close to each other and touching. They seem to be comfortable in each other's presence.
6	6	The woman is standing in front of the man, gesturing with her hands as she talks. The man is listening attentively, occasionally nodding his head.	The woman appears to be slightly frustrated or annoyed, as indicated by her gestures and facial expressions. The man seems calm and composed, with a neutral expression.	The woman and man are the only two people visible in the scene. They seem to be engaged in a conversation, but there is no indication of any other interaction with others.
7	0	The man is sitting at the table, while the woman is standing next to him. They are both engaged in a conversation, and the man is occasionally gesturing with his hands. The woman is attentively listening to the man and occasionally nodding her head.	Both the man and the woman appear to be calm and composed throughout the conversation. They are not displaying any strong emotions, and their facial expressions are neutral.	The man and the woman seem to have a friendly relationship. They are engaged in a casual conversation, and there is no visible tension between them.
7	1	The woman is seen sitting at the table, while the man is sitting across from her. They are engaged in a conversation, and the woman is seen gesturing with her hands as she speaks.	The woman appears to be animated and expressive, while the man is more reserved and serious. The woman's facial expressions convey a sense of excitement and enthusiasm, while the man's are more subdued.	The woman and the man seem to be engaged in a friendly conversation, and there is a sense of familiarity between them. They appear to be comfortable in each other's presence and are enjoying their interaction.
7	2	The man is seen sitting at the table, while the women are engaged in a conversation. The man occasionally looks at the women, but he doesn't seem to be actively participating in the conversation.	The women appear to be enjoying each other's company, as they are smiling and laughing. The man, on the other hand, has a neutral expression on his face.	The women are talking to each other, while the man is mostly observing. There doesn't seem to be any significant interaction between the man and the women.
7	4	The man is sitting at the table and talking to the others. He seems to be engaged in the conversation and is gesturing with his hands to emphasize his points. The other people are also sitting around the table and listening to him.	The man appears to be relaxed and comfortable, with a slight smile on his face. The other people seem attentive and interested in what he is saying.	The man is addressing the other people at the table, and they are all listening to him. There doesn't seem to be any tension or conflict between them.
7	5	The woman is talking to the man, who is sitting across from her. She is holding a bag of cereal and occasionally gesturing with her hands. The man is listening attentively and occasionally nodding his head.	The woman appears to be slightly annoyed or frustrated, as indicated by her furrowed brow and pursed lips. The man seems calm and composed, with a neutral expression on his face.	The woman and man are the only characters in the scene, and their interaction is relatively straightforward. They are engaged in a conversation, but there are no visible signs of tension or conflict.
7	7	The man and woman are engaged in a conversation, with the woman occasionally looking away from the man. The man is seen gesturing with his hands, while the woman is holding a book.	The woman appears to be slightly annoyed or distracted, while the man seems to be trying to make a point or explain something. Their facial expressions and tone of voice convey a sense of tension or disagreement.	The interaction between the two characters is somewhat tense, with the woman appearing to be less engaged in the conversation. There are no visible signs of their relationship, but they seem to be acquaintances or colleagues.
8	1	The speakers are engaged in a conversation, with the woman holding a basket and the man holding a clipboard. They are both standing and facing each other, indicating a direct interaction.	The woman is smiling and laughing, suggesting a positive and friendly conversation. The man appears to be smiling as well, indicating a pleasant exchange.	The video does not provide information about other people in the scene, so it is not possible to describe their interaction.
8	2	The woman is holding a box and appears to be showing it to the girl. The girl is listening attentively and occasionally looking at the box. Both characters are standing still throughout the conversation.	The woman's facial expression is neutral, while the girl seems to be interested in the conversation. There are no visible signs of strong emotions or reactions.	The woman and girl are the only characters in the scene, and their interaction appears to be friendly and casual. The woman is sharing information about the box, and the girl is listening attentively.
8	3	The woman is seen talking to the young girl, who is standing in a shopping cart. The girl is looking away from the woman while the conversation takes place.	The woman appears to be calm and composed, while the young girl seems to be slightly distracted and not fully engaged in the conversation.	The woman is addressing the young girl, but the girl is not responding or engaging in the conversation.
8	4	The two women are standing close to each other, with one woman looking at her phone while the other woman is talking to her. The woman talking is using hand gestures to emphasize her points.	The woman talking appears to be angry and frustrated, as indicated by her facial expressions and tone of voice. The other woman seems to be listening attentively, but her emotions are not clearly visible.	The two women appear to be acquaintances or friends, as they are standing close to each other and engaged in a conversation. There is no indication of any hostility or tension between them.
8	5	The man is seen walking towards the back of the store, presumably to check for floor cleaner. The two women are standing in front of him, engaged in conversation.	The man appears focused and determined as he walks towards the back. The two women seem to be discussing something, with one of them looking slightly concerned.	The two women are talking to the man, possibly discussing the availability of the floor cleaner. There is a sense of familiarity between them, suggesting they may be colleagues or friends.
8	6	The man is seen talking to the two girls, gesturing with his hands to emphasize his points. The girls are listening attentively, occasionally nodding their heads.	The man appears to be frustrated or annoyed, as indicated by his facial expressions and body language. The girls seem to be concerned or curious about the situation.	The man is addressing the girls directly, maintaining eye contact and engaging in a conversation. The girls are actively listening and occasionally responding to the man's questions or statements.
8	7	The woman is seen yelling at the girl, who is standing in front of her. The girl responds by yelling back, and the conversation continues in this manner. Both characters are standing still throughout the video.	The woman appears angry and frustrated, as evidenced by her facial expressions and tone of voice. The girl, on the other hand, seems defiant and upset, as she responds to the woman's yelling.	The interaction between the two characters is tense and confrontational. They appear to be arguing about something, but the specifics of their conversation are not provided in the text.
8	9	The woman is seen talking to the man, while the young girl watches them. The man is also engaged in the conversation, and at one point, he holds a floor cleaner, suggesting that he might be looking for cleaning supplies.	The woman appears to be angry and is yelling at the man. Her facial expressions and tone of voice convey her frustration and annoyance. The man, on the other hand, seems to be trying to calm her down, and his facial expressions show concern and confusion.	The woman and the man seem to have a conflict, possibly related to the man's actions or behavior. The young girl appears to be an innocent bystander, observing the situation with curiosity and concern.
8	10	The woman is seen talking to the man, while the young girl watches them closely. The man listens intently and occasionally nods his head. At one point, he reaches out to touch the woman's arm, which seems to catch her off guard.	The woman appears to be slightly annoyed or irritated, as evidenced by her furrowed brow and tight smile. The man, on the other hand, seems calm and composed, with a gentle and reassuring expression.	The woman and the man seem to have a friendly relationship, as they engage in a casual conversation. The young girl, however, appears to be an outsider, watching the interaction with curiosity.
8	12	The woman is standing with her arms crossed, while the young girl is standing next to her. Both of them are looking at something off-screen. The woman seems to be engaged in a conversation with the girl.	The woman's facial expression is serious, and she seems to be explaining something important to the girl. The girl is listening attentively, with a curious expression on her face.	The woman and the girl appear to have a close relationship, possibly mother and daughter. They are standing close to each other, and the woman is using gestures to emphasize her points.
8	13	The young girl is initially smiling and looking at the camera. As the conversation progresses, she listens attentively to the woman, nodding her head and occasionally gesturing with her hands. The woman, on the other hand, is seen talking to the camera, making hand gestures to emphasize her points.	Both the young girl and the woman appear to be in a positive mood, with smiles on their faces. The young girl's facial expressions convey her interest and engagement in the conversation, while the woman's gestures and tone suggest she is explaining something important.	The young girl and the woman seem to have a friendly or professional relationship, as they are standing close to each other and engaging in a conversation. There is no indication of any tension or conflict between them.
8	14	The two women are standing in front of a store shelf, with one of them holding a basket. They are engaged in a conversation, with both of them gesturing and looking at each other.	Both women appear to be smiling and relaxed, suggesting a friendly conversation. Their facial expressions are positive and they seem to be enjoying each other's company.	The other woman is not visible in the video, so it is not possible to describe any interaction with others.
10	1	The woman is holding a blue clipboard and appears to be taking notes or checking items off a list. The man is standing in front of her, possibly waiting for her to finish her task.	The woman's facial expression is not described, but her tone of voice suggests she is focused and possibly a bit stern. The man's facial expression is not described, but his posture and body language indicate he is patiently waiting.	The woman and the man do not appear to interact with anyone else in the scene. Their focus is solely on each other and the items on the shelves.
10	2	The woman is standing upright and facing the man. She appears to be engaged in a conversation with him. The man is kneeling down and also facing the woman. He seems to be listening intently to her.	The woman's facial expression is neutral, indicating that she is not particularly excited or upset. The man's expression is also neutral, suggesting that he is focused on the conversation.	The woman and the man are the only two people in the scene. They appear to be having a private conversation, with no other individuals present.
10	4	The man in the wheelchair is speaking to the woman, while the woman is attentively listening and occasionally nodding her head. Both characters maintain a relatively static position throughout the conversation.	The man appears to be calm and composed, while the woman displays a neutral expression. There are no visible signs of strong emotions or reactions.	The characters seem to be engaged in a one-on-one conversation, with no other people visible in the scene. The interaction appears to be friendly and respectful.
10	7	The woman is standing upright, holding a clipboard in her hand. She appears to be engaged in a conversation with the man, who is kneeling down in front of her.	The woman's facial expression is not described in the text, so it is difficult to determine her emotions. However, the man is described as smiling, which could indicate a friendly or positive interaction between the two characters.	The text does not provide any information about the interaction between the speaker and other people in the scene.
10	8	The woman is talking to the man in the wheelchair, and they appear to be engaged in a conversation. The man is listening attentively, and the woman is gesturing with her hands as she speaks.	Both the woman and the man seem to be in good spirits, with smiles on their faces. The woman's tone of voice is friendly and warm, while the man responds with nods and smiles.	The woman and the man in the wheelchair are the only characters in the scene, and their interaction appears to be friendly and positive.
10	9	The woman is seen talking to a man in a wheelchair, while another man in a blue vest is also present. The woman is standing still, while the man in the wheelchair is sitting and the man in the blue vest is standing.	The video does not provide clear indications of the characters' emotions, but the woman appears to be engaged in conversation with the man in the wheelchair.	The woman is the main speaker, addressing the man in the wheelchair. The man in the blue vest is also present, but his role in the conversation is unclear.
10	10	The woman in the blue vest is standing in the aisle, while the woman in the red sweater is walking through the store. They briefly stop and talk to each other.	Both women appear to be in good spirits, with smiles on their faces. They seem to be enjoying their conversation and are relaxed.	The two women are the only people visible in the scene. They appear to be friends or acquaintances, as they are talking and laughing together.
10	11	The women are engaged in a conversation, with one of them holding a basket. They are standing still, facing each other, and occasionally gesturing with their hands.	The video does not provide enough information to determine the emotions of the speakers. However, their facial expressions appear neutral, suggesting a calm and friendly conversation.	The video does not show any interaction with other people. The focus is solely on the two women and their conversation.
10	12	The woman is talking to the man, and at one point, she points at something on the shelf. The man looks at her and then looks away.	The woman appears to be smiling and engaged in conversation, while the man looks somewhat bored and disinterested.	The woman and man seem to be acquaintances or friends, as they are having a casual conversation in a public place.
11	4	The woman is holding a clipboard and appears to be observing the young girl as she sweeps the floor. The girl is pushing a blue cart and sweeping the floor with a mop.	Both the woman and the girl seem focused on their tasks, with no visible signs of emotion.	The woman and the girl do not appear to interact with anyone else in the scene.
11	5	The woman is actively pushing the cart, while the man is walking away without looking back. There is no direct interaction between the two characters.	The woman's facial expression is not visible, but the man appears to be focused on his task and does not show any particular emotion.	There is no direct interaction between the two characters, as the man walks away after the woman pushes the cart.
11	6	The young girl is seen holding a broom and pushing it along the floor. The woman is also present in the scene, but her actions are not specified.	The young girl appears to be focused on her task, with a serious expression on her face. The woman's emotions are not described in the text.	The young girl is interacting with the woman, who is presumably her mother or guardian. The nature of their interaction is not specified, but it can be inferred that the woman is supervising the girl's work.
11	7	The woman is holding a broom and appears to be cleaning the store. The girl is holding a bat, which she uses to playfully poke the woman. Both characters seem to be enjoying themselves and having a good time.	The woman is smiling and laughing, indicating that she is enjoying the interaction with the girl. The girl also appears to be happy and playful, as she pokes the woman with the bat.	The interaction between the two characters seems to be friendly and playful. They appear to be comfortable with each other and are enjoying each other's company.
12	2	The woman is ironing clothes on the table, while the man is standing nearby. The young girl is also present, and she is not doing her homework.	The woman appears to be focused on ironing the clothes, while the man is looking at the girl with a concerned expression. The girl seems to be uninterested in her homework.	The man is talking to the woman, while the girl is not paying attention to them. There is no visible interaction between the man and the girl.
12	3	The woman is pointing her finger at the man, while the man is looking at her with a serious expression. The woman seems to be angry and is gesturing with her hands.	The woman's facial expression shows anger and frustration, while the man's expression is serious and concerned.	The woman and the man seem to be engaged in a heated conversation, with the woman pointing her finger at the man and the man looking at her intently.
12	4	The woman is standing with her arms crossed, while the man is standing in front of her. They are both looking at each other and engaged in a conversation.	The woman appears to be angry and frustrated, as indicated by her facial expression and body language. The man seems to be trying to calm her down and resolve the issue.	The woman and the man are the only two people in the scene. They are talking to each other, but there is no visible sign of their relationship.
12	5	The man is standing with his hands in his pockets, while the woman is standing upright. They are both facing each other and engaged in conversation.	The man seems to be angry and is speaking in a stern tone. The woman appears to be surprised and is looking at the man with wide eyes.	The man and woman seem to be having a serious conversation, but it is unclear what they are talking about. There is no visible sign of their relationship.
13	2	The man in the orange vest is talking to the other man, who is wearing a blue shirt. He is standing in front of the man in the blue shirt, indicating that he is addressing him directly.	The man in the orange vest is smiling, suggesting that he is friendly or joking with the other man. The man in the blue shirt appears to be listening attentively, but his facial expression is not visible.	The two men seem to be engaged in a friendly conversation, with no visible signs of tension or conflict. They appear to be comfortable with each other and are enjoying their interaction.
13	4	The man in the orange vest is leaning in towards the other man, indicating a sense of urgency or importance in their conversation. The man in the blue sweater is looking down and speaking in a low tone, possibly to maintain privacy.	Both men appear serious and focused on their conversation. The man in the orange vest occasionally nods his head in agreement, while the man in the blue sweater maintains a neutral expression.	The two men seem to be engaged in a one-on-one conversation, with no other people visible in the scene. Their interaction appears to be professional, rather than personal.
13	5	The man in the blue shirt is standing upright and gesturing with his hands as he talks. The man in the vest is listening attentively and occasionally nodding his head. There is no physical interaction between the characters.	Both men appear calm and composed. The man in the blue shirt has a slight smile on his face, while the man in the vest maintains a neutral expression.	The woman standing nearby is not actively participating in the conversation. She seems to be browsing the products on the shelves.
13	6	The man wearing a blue vest is standing in front of the other man, who is wearing an orange vest. He is gesturing with his hands as he talks, while the other man listens attentively.	Both men appear to be in good spirits, with smiles on their faces and relaxed body language. They seem to be enjoying their conversation.	The two men are the only people visible in the scene, and they appear to be engaged in a friendly conversation. There is no indication of any other people present in the store.
14	0	The woman is talking to the man, and at one point, she points at something on the shelf. The man listens and occasionally looks at the items on the shelves.	The woman appears to be calm and focused on the conversation, while the man seems attentive and engaged. There are no visible signs of strong emotions or facial expressions.	The woman and the man seem to be having a friendly conversation, with no visible signs of tension or hostility. The other people in the background are not interacting with the speakers.
14	1	The man is standing in front of the woman, gesturing with his hands as he talks. The woman is attentively listening to him, nodding her head occasionally.	The man appears to be calm and composed, while the woman seems to be concerned and attentive. Both speakers maintain a neutral facial expression throughout the conversation.	The video does not show any other people in the scene, so there is no interaction with others.
14	2	The woman is seen talking to the man, and at one point, she touches his arm. The man listens attentively and occasionally nods his head.	Both the woman and the man appear to be calm and composed throughout the conversation. Their facial expressions are neutral, and there are no visible signs of strong emotions.	The woman and the man seem to be engaged in a private conversation, and there is no interaction with other people in the scene.
14	3	The woman in the blue vest is seen talking to a man in front of her. She is gesturing with her hands and occasionally looks away from the man. The man is standing still and listening to her.	The woman appears to be angry and frustrated, as evidenced by her clenched fists and stern facial expression. The man seems calm and composed, with a neutral expression.	The woman and the man are the only ones interacting in the scene. They seem to be engaged in a serious conversation, with the woman doing most of the talking.
14	4	The woman is standing in front of the man, gesturing with her hands as she speaks. The man listens attentively, occasionally nodding his head.	Both the woman and the man appear to be engaged in a serious conversation. Their facial expressions are neutral, and their tone of voice is professional.	There is no interaction with others in the scene. The focus is solely on the conversation between the woman and the man.
14	5	The woman is talking to the man, and at one point, she points at him. The man listens and occasionally responds. There are no other significant actions or movements in the video.	The woman appears to be slightly annoyed or frustrated, as indicated by her facial expression and body language. The man seems calm and attentive.	The woman and the man are the only ones interacting directly in the video. There are other people in the background, but they do not appear to be involved in the conversation.
14	6	The woman is seen talking to the man, and at one point, she gestures towards him. The man listens and occasionally responds.	The woman appears to be calm and composed, while the man seems attentive and engaged in the conversation. There are no visible signs of strong emotions or facial expressions.	The woman and man seem to be having a private conversation, as they are facing each other and not interacting with the other people in the store.
14	7	The man is seen grabbing the woman's arm and shaking it. The woman, in turn, is holding a shopping cart and appears to be reacting to the man's actions.	The woman's facial expression shows shock and surprise at the man's sudden action. The man's expression is not described, but his behavior suggests he may be angry or upset.	The video does not provide any information about the interaction between the speakers and other people in the scene.
14	8	The woman is seen pointing at something on the shelf, while the man is looking at her with a neutral expression. The woman's gesture suggests that she is trying to draw the man's attention to a specific product or item on the shelf.	The woman appears to be slightly frustrated or annoyed, as indicated by her pointing gesture. The man, on the other hand, maintains a neutral expression, giving little away in terms of his emotions.	The interaction between the two characters seems to be a friendly conversation, with no visible signs of tension or conflict. They appear to be comfortable with each other and engaged in a casual conversation.
16	0	The man is holding a bag and looking at the shelf of canned goods. The woman is also looking at the shelf and occasionally picking up cans. Both characters are engaged in a conversation.	The characters appear to be calm and focused on their conversation. Their facial expressions are neutral, and their tone of voice is measured.	The characters are the only ones in the scene, and their interaction is limited to their conversation. There are no visible signs of their relationship.
16	1	The man is holding a blue folder and appears to be explaining something to the woman. He is gesturing with his hands and occasionally looking at the folder. The woman is listening attentively and occasionally nodding her head.	Both the man and the woman appear to be calm and composed throughout the video. They are not displaying any strong emotions or facial expressions.	The man and the woman seem to have a friendly and professional relationship. They are engaged in a conversation, but there is no visible tension or hostility between them.
16	4	The man is holding a bag and appears to be shopping. He is standing in front of a shelf and occasionally glances at the products. The woman is also holding a bag and is standing next to the man. She seems to be engaged in a conversation with the man.	Both the man and the woman appear to be calm and relaxed. They are not displaying any strong emotions or facial expressions.	The man and the woman seem to be engaged in a friendly conversation. They are standing close to each other and occasionally exchange smiles.
16	6	The man is pointing at something on the shelf while talking to the woman. The woman is looking at her phone and occasionally glances up at the man. At one point, she puts her phone away to pay more attention to the conversation.	The man appears to be friendly and engaged in the conversation, while the woman seems somewhat distracted and disinterested. Her facial expressions are neutral, and she does not show any strong emotions.	The man and woman seem to be acquaintances or friends, as they are having a casual conversation in a public place. There is no visible tension or hostility between them.
